"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";"2020-03-10";"2020";"11";"1";"0";"1";"0";"Belgium";"Gender"
"2";"2020-03-11";"2020";"11";"3";"2";"1";"0";"Belgium";"Gender"
"3";"2020-03-12";"2020";"11";"1";"1";"0";"0";"Belgium";"Gender"
"4";"2020-03-13";"2020";"11";"3";"1";"2";"0";"Belgium";"Gender"
"5";"2020-03-14";"2020";"11";"5";"4";"1";"0";"Belgium";"Gender"
"6";"2020-03-15";"2020";"11";"5";"2";"3";"0";"Belgium";"Gender"
"7";"2020-03-16";"2020";"12";"12";"5";"7";"0";"Belgium";"Gender"
"8";"2020-03-17";"2020";"12";"10";"6";"3";"1";"Belgium";"Gender"
"9";"2020-03-18";"2020";"12";"23";"11";"11";"1";"Belgium";"Gender"
"10";"2020-03-19";"2020";"12";"34";"16";"16";"2";"Belgium";"Gender"
"11";"2020-03-20";"2020";"12";"37";"14";"23";"0";"Belgium";"Gender"
"12";"2020-03-21";"2020";"12";"40";"20";"19";"1";"Belgium";"Gender"
"13";"2020-03-22";"2020";"12";"47";"26";"20";"1";"Belgium";"Gender"
"14";"2020-03-23";"2020";"13";"78";"45";"33";"0";"Belgium";"Gender"
"15";"2020-03-24";"2020";"13";"78";"52";"26";"0";"Belgium";"Gender"
"16";"2020-03-25";"2020";"13";"107";"62";"45";"0";"Belgium";"Gender"
"17";"2020-03-26";"2020";"13";"103";"61";"42";"0";"Belgium";"Gender"
"18";"2020-03-27";"2020";"13";"128";"64";"64";"0";"Belgium";"Gender"
"19";"2020-03-28";"2020";"13";"142";"71";"71";"0";"Belgium";"Gender"
"20";"2020-03-29";"2020";"13";"149";"76";"73";"0";"Belgium";"Gender"
"21";"2020-03-30";"2020";"14";"170";"83";"87";"0";"Belgium";"Gender"
"22";"2020-03-31";"2020";"14";"208";"99";"109";"0";"Belgium";"Gender"
"23";"2020-04-01";"2020";"14";"233";"121";"112";"0";"Belgium";"Gender"
"24";"2020-04-02";"2020";"14";"219";"113";"106";"0";"Belgium";"Gender"
"25";"2020-04-03";"2020";"14";"236";"131";"105";"0";"Belgium";"Gender"
"26";"2020-04-04";"2020";"14";"271";"131";"134";"6";"Belgium";"Gender"
"27";"2020-04-05";"2020";"14";"248";"129";"119";"0";"Belgium";"Gender"
"28";"2020-04-06";"2020";"15";"256";"125";"131";"0";"Belgium";"Gender"
"29";"2020-04-07";"2020";"15";"278";"124";"154";"0";"Belgium";"Gender"
"30";"2020-04-08";"2020";"15";"322";"135";"187";"0";"Belgium";"Gender"
"31";"2020-04-09";"2020";"15";"273";"123";"150";"0";"Belgium";"Gender"
"32";"2020-04-10";"2020";"15";"301";"140";"161";"0";"Belgium";"Gender"
"33";"2020-04-11";"2020";"15";"284";"125";"157";"2";"Belgium";"Gender"
"34";"2020-04-12";"2020";"15";"266";"138";"128";"0";"Belgium";"Gender"
"35";"2020-04-13";"2020";"16";"277";"131";"146";"0";"Belgium";"Gender"
"36";"2020-04-14";"2020";"16";"261";"122";"139";"0";"Belgium";"Gender"
"37";"2020-04-15";"2020";"16";"281";"141";"138";"2";"Belgium";"Gender"
"38";"2020-04-16";"2020";"16";"246";"112";"132";"2";"Belgium";"Gender"
"39";"2020-04-17";"2020";"16";"204";"86";"118";"0";"Belgium";"Gender"
"40";"2020-04-18";"2020";"16";"208";"79";"129";"0";"Belgium";"Gender"
