"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";"2020-01-01";"2020";"01";"0";"0";"0";"0";"Spain";"Gender"
"2";"2020-01-02";"2020";"01";"0";"0";"0";"0";"Spain";"Gender"
"3";"2020-01-03";"2020";"01";"0";"0";"0";"0";"Spain";"Gender"
"4";"2020-01-04";"2020";"01";"0";"0";"0";"0";"Spain";"Gender"
"5";"2020-01-05";"2020";"01";"0";"0";"0";"0";"Spain";"Gender"
"6";"2020-01-06";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"7";"2020-01-07";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"8";"2020-01-08";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"9";"2020-01-09";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"10";"2020-01-10";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"11";"2020-01-11";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"12";"2020-01-12";"2020";"02";"0";"0";"0";"0";"Spain";"Gender"
"13";"2020-01-13";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"14";"2020-01-14";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"15";"2020-01-15";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"16";"2020-01-16";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"17";"2020-01-17";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"18";"2020-01-18";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"19";"2020-01-19";"2020";"03";"0";"0";"0";"0";"Spain";"Gender"
"20";"2020-01-20";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"21";"2020-01-21";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"22";"2020-01-22";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"23";"2020-01-23";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"24";"2020-01-24";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"25";"2020-01-25";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"26";"2020-01-26";"2020";"04";"0";"0";"0";"0";"Spain";"Gender"
"27";"2020-01-27";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"28";"2020-01-28";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"29";"2020-01-29";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"30";"2020-01-30";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"31";"2020-01-31";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"32";"2020-02-01";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"33";"2020-02-02";"2020";"05";"0";"0";"0";"0";"Spain";"Gender"
"34";"2020-02-03";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"35";"2020-02-04";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"36";"2020-02-05";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"37";"2020-02-06";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"38";"2020-02-07";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"39";"2020-02-08";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"40";"2020-02-09";"2020";"06";"0";"0";"0";"0";"Spain";"Gender"
"41";"2020-02-10";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"42";"2020-02-11";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"43";"2020-02-12";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"44";"2020-02-13";"2020";"07";"1";"1";"0";"0";"Spain";"Gender"
"45";"2020-02-14";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"46";"2020-02-15";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"47";"2020-02-16";"2020";"07";"0";"0";"0";"0";"Spain";"Gender"
"48";"2020-02-17";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"49";"2020-02-18";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"50";"2020-02-19";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"51";"2020-02-20";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"52";"2020-02-21";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"53";"2020-02-22";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"54";"2020-02-23";"2020";"08";"0";"0";"0";"0";"Spain";"Gender"
"55";"2020-02-24";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"56";"2020-02-25";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"57";"2020-02-26";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"58";"2020-02-27";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"59";"2020-02-28";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"60";"2020-02-29";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"61";"2020-03-01";"2020";"09";"0";"0";"0";"0";"Spain";"Gender"
"62";"2020-03-02";"2020";"10";"0";"0";"0";"0";"Spain";"Gender"
"63";"2020-03-03";"2020";"10";"1";"0";"1";"0";"Spain";"Gender"
"64";"2020-03-04";"2020";"10";"2";"1";"1";"0";"Spain";"Gender"
"65";"2020-03-05";"2020";"10";"1";"1";"0";"0";"Spain";"Gender"
"66";"2020-03-06";"2020";"10";"3";"2";"1";"0";"Spain";"Gender"
"67";"2020-03-07";"2020";"10";"3";"3";"0";"0";"Spain";"Gender"
"68";"2020-03-08";"2020";"10";"14";"11";"3";"0";"Spain";"Gender"
"69";"2020-03-09";"2020";"11";"17";"9";"8";"0";"Spain";"Gender"
"70";"2020-03-10";"2020";"11";"28";"16";"12";"0";"Spain";"Gender"
"71";"2020-03-11";"2020";"11";"35";"23";"11";"1";"Spain";"Gender"
"72";"2020-03-12";"2020";"11";"59";"35";"24";"0";"Spain";"Gender"
"73";"2020-03-13";"2020";"11";"79";"53";"26";"0";"Spain";"Gender"
"74";"2020-03-14";"2020";"11";"108";"69";"39";"0";"Spain";"Gender"
"75";"2020-03-15";"2020";"11";"131";"67";"64";"0";"Spain";"Gender"
"76";"2020-03-16";"2020";"12";"183";"116";"64";"3";"Spain";"Gender"
"77";"2020-03-17";"2020";"12";"191";"125";"66";"0";"Spain";"Gender"
"78";"2020-03-18";"2020";"12";"246";"155";"91";"0";"Spain";"Gender"
"79";"2020-03-19";"2020";"12";"322";"201";"118";"3";"Spain";"Gender"
"80";"2020-03-20";"2020";"12";"433";"279";"152";"2";"Spain";"Gender"
"81";"2020-03-21";"2020";"12";"506";"332";"171";"3";"Spain";"Gender"
"82";"2020-03-22";"2020";"12";"551";"346";"203";"2";"Spain";"Gender"
"83";"2020-03-23";"2020";"13";"686";"429";"256";"1";"Spain";"Gender"
"84";"2020-03-24";"2020";"13";"723";"455";"268";"0";"Spain";"Gender"
"85";"2020-03-25";"2020";"13";"824";"498";"320";"6";"Spain";"Gender"
"86";"2020-03-26";"2020";"13";"871";"547";"322";"2";"Spain";"Gender"
"87";"2020-03-27";"2020";"13";"909";"546";"357";"6";"Spain";"Gender"
"88";"2020-03-28";"2020";"13";"840";"504";"332";"4";"Spain";"Gender"
"89";"2020-03-29";"2020";"13";"811";"470";"335";"6";"Spain";"Gender"
"90";"2020-03-30";"2020";"14";"913";"546";"364";"3";"Spain";"Gender"
"91";"2020-03-31";"2020";"14";"899";"573";"322";"4";"Spain";"Gender"
"92";"2020-04-01";"2020";"14";"895";"522";"369";"4";"Spain";"Gender"
"93";"2020-04-02";"2020";"14";"858";"503";"344";"11";"Spain";"Gender"
"94";"2020-04-03";"2020";"14";"786";"459";"322";"5";"Spain";"Gender"
"95";"2020-04-04";"2020";"14";"740";"410";"325";"5";"Spain";"Gender"
"96";"2020-04-05";"2020";"14";"750";"395";"351";"4";"Spain";"Gender"
"97";"2020-04-06";"2020";"15";"766";"407";"351";"8";"Spain";"Gender"
"98";"2020-04-07";"2020";"15";"736";"397";"334";"5";"Spain";"Gender"
"99";"2020-04-08";"2020";"15";"749";"385";"358";"6";"Spain";"Gender"
"100";"2020-04-09";"2020";"15";"667";"362";"300";"5";"Spain";"Gender"
"101";"2020-04-10";"2020";"15";"676";"314";"357";"5";"Spain";"Gender"
"102";"2020-04-11";"2020";"15";"628";"302";"316";"10";"Spain";"Gender"
"103";"2020-04-12";"2020";"15";"544";"252";"286";"6";"Spain";"Gender"
"104";"2020-04-13";"2020";"16";"587";"283";"300";"4";"Spain";"Gender"
"105";"2020-04-14";"2020";"16";"607";"296";"309";"2";"Spain";"Gender"
"106";"2020-04-15";"2020";"16";"552";"288";"263";"1";"Spain";"Gender"
"107";"2020-04-16";"2020";"16";"487";"237";"246";"4";"Spain";"Gender"
"108";"2020-04-17";"2020";"16";"507";"256";"248";"3";"Spain";"Gender"
"109";"2020-04-18";"2020";"16";"435";"199";"229";"7";"Spain";"Gender"
"110";"2020-04-19";"2020";"16";"401";"165";"231";"5";"Spain";"Gender"
"111";"2020-04-20";"2020";"17";"387";"204";"179";"4";"Spain";"Gender"
"112";"2020-04-21";"2020";"17";"427";"195";"227";"5";"Spain";"Gender"
"113";"2020-04-22";"2020";"17";"344";"165";"179";"0";"Spain";"Gender"
"114";"2020-04-23";"2020";"17";"331";"181";"147";"3";"Spain";"Gender"
"115";"2020-04-24";"2020";"17";"330";"162";"162";"6";"Spain";"Gender"
"116";"2020-04-25";"2020";"17";"295";"134";"158";"3";"Spain";"Gender"
"117";"2020-04-26";"2020";"17";"272";"123";"147";"2";"Spain";"Gender"
"118";"2020-04-27";"2020";"18";"258";"134";"122";"2";"Spain";"Gender"
"119";"2020-04-28";"2020";"18";"259";"131";"126";"2";"Spain";"Gender"
"120";"2020-04-29";"2020";"18";"236";"121";"112";"3";"Spain";"Gender"
"121";"2020-04-30";"2020";"18";"223";"105";"116";"2";"Spain";"Gender"
"122";"2020-05-01";"2020";"18";"176";"83";"91";"2";"Spain";"Gender"
"123";"2020-05-02";"2020";"18";"202";"96";"105";"1";"Spain";"Gender"
"124";"2020-05-03";"2020";"18";"197";"102";"91";"4";"Spain";"Gender"
"125";"2020-05-04";"2020";"19";"186";"87";"95";"4";"Spain";"Gender"
"126";"2020-05-05";"2020";"19";"183";"89";"91";"3";"Spain";"Gender"
"127";"2020-05-06";"2020";"19";"153";"76";"72";"5";"Spain";"Gender"
"128";"2020-05-07";"2020";"19";"166";"80";"83";"3";"Spain";"Gender"
"129";"2020-05-08";"2020";"19";"146";"65";"77";"4";"Spain";"Gender"
"130";"2020-05-09";"2020";"19";"125";"65";"59";"1";"Spain";"Gender"
"131";"2020-05-10";"2020";"19";"110";"47";"62";"1";"Spain";"Gender"
"132";"2020-05-11";"2020";"20";"122";"55";"63";"4";"Spain";"Gender"
"133";"2020-05-12";"2020";"20";"113";"54";"53";"6";"Spain";"Gender"
"134";"2020-05-13";"2020";"20";"87";"33";"52";"2";"Spain";"Gender"
"135";"2020-05-14";"2020";"20";"86";"43";"43";"0";"Spain";"Gender"
"136";"2020-05-15";"2020";"20";"78";"51";"24";"3";"Spain";"Gender"
"137";"2020-05-16";"2020";"20";"63";"28";"35";"0";"Spain";"Gender"
"138";"2020-05-17";"2020";"20";"61";"32";"28";"1";"Spain";"Gender"
"139";"2020-05-18";"2020";"21";"72";"44";"28";"0";"Spain";"Gender"
"140";"2020-05-19";"2020";"21";"67";"34";"31";"2";"Spain";"Gender"
